Sat Sep 19 15:57:37 2026    /Users/alansynn/Workspace/solweig-light/reports/characterization/p7_full_profile_repeated256_v2/profile/worker.pstats

         51645601 function calls (48919657 primitive calls) in 38.857 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12185    0.059    0.000    0.172    0.000 inspect.py:2331(_signature_from_function)
       20    0.001    0.000    0.171    0.009 callwrapper.py:126(build_wrapper)
      216    0.021    0.000    0.171    0.001 ssa.py:183(_run_block_rewrite)
       79    0.006    0.000    0.169    0.002 ssa.py:145(_find_defs_violators)
    85159    0.054    0.000    0.168    0.000 typeconv.py:40(check_compatible)
     1732    0.003    0.000    0.166    0.000 codegen.py:1249(_function_pass_manager)
    78241    0.039    0.000    0.166    0.000 _utils.py:16(register)
26993/26843    0.024    0.000    0.161    0.000 abstract.py:61(__call__)
      728    0.006    0.000    0.159    0.000 postproc.py:46(livemap)
       79    0.001    0.000    0.157    0.002 ssa.py:175(_run_block_analysis)
       93    0.001    0.000    0.157    0.002 arrayobj.py:556(getitem_array_tuple)
    20877    0.011    0.000    0.156    0.000 inline_closurecall.py:1626(list_var_used)
    12600    0.025    0.000    0.155    0.000 interpreter.py:1840(store)
    12922    0.010    0.000    0.155    0.000 instructions.py:693(__init__)
      730    0.003    0.000    0.154    0.000 analysis.py:60(compute_live_map)
   409021    0.151    0.000    0.151    0.000 {built-in method numpy.asarray}
     9985    0.012    0.000    0.149    0.000 lowering.py:1534(storevar)
        1    0.000    0.000    0.149    0.149 _ndimage_api.py:1(<module>)
     3885    0.002    0.000    0.146    0.000 ir.py:101(_get_path)
      691    0.001    0.000    0.145    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
     3887    0.009    0.000    0.144    0.000 <frozen posixpath>:490(relpath)
       91    0.000    0.000    0.143    0.002 bytecode.py:396(__init__)
       89    0.000    0.000    0.143    0.002 untyped_passes.py:59(run_pass)
     9732    0.012    0.000    0.142    0.000 ssa.py:268(on_assign)
      759    0.004    0.000    0.142    0.000 cgutils.py:101(__init__)
