Sat Sep 19 16:09:04 2026    /Users/alansynn/Workspace/solweig-light/reports/characterization/p7_persistent_jit_experiment/small_v1/profile/worker.pstats

         17681082 function calls (16911465 primitive calls) in 7.658 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       59    0.000    0.000    0.049    0.001 codegen.py:1105(add_module)
       86    0.000    0.000    0.049    0.001 context.py:416(resolve_setitem)
    10809    0.006    0.000    0.048    0.000 ffi.py:349(close)
     2670    0.001    0.000    0.048    0.000 context.py:413(decref)
     3937    0.005    0.000    0.048    0.000 typeof.py:27(typeof)
     3751    0.003    0.000    0.048    0.000 value.py:157(name)
        2    0.000    0.000    0.048    0.024 __config__.py:1(<module>)
       47    0.001    0.000    0.048    0.001 lowering.py:30(__init__)
     1231    0.001    0.000    0.048    0.000 controlflow.py:214(_back_edges)
     3915    0.003    0.000    0.048    0.000 module.py:251(_next)
     5066    0.002    0.000    0.047    0.000 context.py:355(core)
     1291    0.038    0.000    0.047    0.000 controlflow.py:616(_find_back_edges)
      590    0.000    0.000    0.047    0.000 __init__.py:225(compile)
      801    0.005    0.000    0.047    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
376251/376250    0.018    0.000    0.047    0.000 {method 'extend' of 'list' objects}
      173    0.001    0.000    0.046    0.000 _compiler.py:740(compile)
      606    0.000    0.000    0.046    0.000 ir.py:1545(infer_constant)
     4284    0.003    0.000    0.046    0.000 visibility_native.py:103(__getitem__)
       58    0.000    0.000    0.046    0.001 untyped_passes.py:118(run_pass)
  896/606    0.001    0.000    0.046    0.000 consts.py:24(infer_constant)
     2695    0.003    0.000    0.045    0.000 lowering.py:1636(decref)
     3564    0.004    0.000    0.045    0.000 errors.py:577(__init__)
23781/23699    0.010    0.000    0.045    0.000 context.py:628(can_convert)
        1    0.000    0.000    0.045    0.045 secrets.py:1(<module>)
  697/505    0.001    0.000    0.045    0.000 consts.py:56(_do_infer)
     2626    0.015    0.000    0.045    0.000 inspect.py:2331(_signature_from_function)
      419    0.001    0.000    0.045    0.000 arrayobj.py:100(shape)
        1    0.000    0.000    0.045    0.045 hmac.py:1(<module>)
        2    0.000    0.000    0.044    0.022 ufuncbuilder.py:202(_build_element_wise_ufunc_wrapper)
     8441    0.007    0.000    0.044    0.000 interpreter.py:1799(_dispatch)
      206    0.001    0.000    0.043    0.000 cgutils.py:696(get_item_pointer)
      216    0.043    0.000    0.043    0.000 patch_radiation.py:288(_longwave)
     1049    0.003    0.000    0.043    0.000 cgutils.py:364(alloca_once)
    53036    0.009    0.000    0.043    0.000 templates.py:1322(new_registrations)
    37057    0.026    0.000    0.043    0.000 _utils.py:24(deduplicate)
      550    0.000    0.000    0.043    0.000 controlflow.py:218(_topo_order)
      667    0.004    0.000    0.043    0.000 controlflow.py:427(_find_postorder)
        2    0.000    0.000    0.043    0.021 _basic.py:1(<module>)
        1    0.000    0.000    0.043    0.043 _support_alternative_backends.py:871(<dictcomp>)
      550    0.000    0.000    0.043    0.000 controlflow.py:678(_find_topo_order)
       91    0.000    0.000    0.042    0.000 _support_alternative_backends.py:86(wrapper)
      259    0.000    0.000    0.042    0.000 templates.py:1054(__init__)
80664/80157    0.014    0.000    0.042    0.000 {method 'join' of 'str' objects}
      550    0.001    0.000    0.042    0.000 controlflow.py:458(_find_reverse_postorder)
        1    0.000    0.000    0.042    0.042 <frozen runpy>:105(_get_module_details)
     4284    0.002    0.000    0.042    0.000 visibility.py:145(__getitem__)
       47    0.000    0.000    0.042    0.001 lowering.py:349(init)
    65852    0.020    0.000    0.042    0.000 event.py:100(__init__)
       47    0.004    0.000    0.042    0.001 lowering.py:365(_find_singly_assigned_variable)
27726/25529    0.010    0.000    0.042    0.000 contextlib.py:141(__exit__)
3956/3938    0.003    0.000    0.042    0.000 functools.py:904(wrapper)
       59    0.000    0.000    0.041    0.001 codegen.py:1305(_scan_and_fix_unresolved_refs)
     1131    0.038    0.000    0.041    0.000 analysis.py:86(def_reach)
       54    0.000    0.000    0.041    0.001 imputils.py:232(imp)
      409    0.003    0.000    0.041    0.000 ir.py:115(strformat)
     2315    0.001    0.000    0.041    0.000 cgutils.py:931(gep_inbounds)
      247    0.000    0.000    0.040    0.000 templates.py:1100(_init_once)
     8475    0.008    0.000    0.040    0.000 byteflow.py:332(dispatch)
      632    0.000    0.000    0.040    0.000 errors.py:748(__init__)
     3253    0.004    0.000    0.040    0.000 value.py:231(is_declaration)
     3664    0.002    0.000    0.040    0.000 base.py:42(find)
       76    0.000    0.000    0.040    0.001 typeinfer.py:459(__call__)
        1    0.000    0.000    0.039    0.039 _pickle.py:1(<module>)
    86651    0.030    0.000    0.039    0.000 event.py:270(on_end)
     2316    0.004    0.000    0.039    0.000 cgutils.py:938(gep)
41595/38295    0.013    0.000    0.039    0.000 misc.py:63(unliteral)
      270    0.000    0.000    0.038    0.000 inline_closurecall.py:1474(match)
       24    0.000    0.000    0.038    0.002 persistence.py:414(write)
      802    0.000    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
       62    0.000    0.000    0.038    0.001 typeinfer.py:772(__call__)
      268    0.004    0.000    0.038    0.000 inline_closurecall.py:1487(_inline_const_arraycall)
      802    0.001    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
       60    0.004    0.000    0.038    0.001 interpreter.py:986(peep_hole_delete_with_exit)
       24    0.001    0.000    0.037    0.002 rasters.py:66(write)
4286/3972    0.002    0.000    0.037    0.000 base.py:697(cast)
