Sat Sep 19 16:15:40 2026    /Users/alansynn/Workspace/solweig-light/reports/characterization/p7_persistent_jit_serial_variant/small_v1/profile/worker.pstats

         7157498 function calls (6854664 primitive calls) in 4.308 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      103    0.000    0.000    0.030    0.000 transforms.py:362(canonicalize_cfg)
      103    0.001    0.000    0.030    0.000 postproc.py:46(livemap)
      103    0.000    0.000    0.030    0.000 transforms.py:292(canonicalize_cfg_single_backedge)
       13    0.002    0.000    0.030    0.002 byteflow.py:86(run)
        1    0.000    0.000    0.030    0.030 f2py2e.py:1(<module>)
     1278    0.002    0.000    0.030    0.000 _docscrape.py:201(_read_to_next_section)
       24    0.003    0.000    0.030    0.001 engine.py:1336(Lside_veg_v2022a)
    10641    0.007    0.000    0.030    0.000 event.py:390(start_event)
        1    0.000    0.000    0.030    0.030 __init__.py:140(timezone)
     1354    0.001    0.000    0.030    0.000 _docscrape.py:212(_read_sections)
      245    0.000    0.000    0.029    0.000 gdal.py:10754(ReadAsArray)
     9621    0.003    0.000    0.029    0.000 base.py:1265(enter_fn)
      103    0.000    0.000    0.029    0.000 analysis.py:60(compute_live_map)
       11    0.000    0.000    0.029    0.003 caching.py:477(rebuild)
       11    0.000    0.000    0.029    0.003 compiler.py:227(_rebuild)
      245    0.001    0.000    0.029    0.000 gdal_array.py:597(BandReadAsArray)
        1    0.000    0.000    0.029    0.029 lazy.py:150(_lazy)
        1    0.000    0.000    0.029    0.029 lazy.py:97(_lazy)
      598    0.000    0.000    0.029    0.000 __init__.py:1125(<genexpr>)
      172    0.000    0.000    0.028    0.000 _parser.py:979(parse)
      597    0.000    0.000    0.028    0.000 __init__.py:121(resource_exists)
9107/8515    0.003    0.000    0.028    0.000 contextlib.py:132(__enter__)
      485    0.000    0.000    0.028    0.000 gdal_array.py:264(BandRasterIONumPy)
        2    0.000    0.000    0.028    0.014 extending.py:1(<module>)
      485    0.028    0.000    0.028    0.000 {built-in method osgeo._gdal_array.BandRasterIONumPy}
      262    0.000    0.000    0.028    0.000 controlflow.py:214(_back_edges)
      275    0.003    0.000    0.028    0.000 controlflow.py:616(_find_back_edges)
       33    0.000    0.000    0.028    0.001 postproc.py:158(_insert_var_dels)
       33    0.006    0.000    0.028    0.001 postproc.py:179(_patch_var_dels)
  899/172    0.002    0.000    0.028    0.000 _parser.py:456(_parse_sub)
       51    0.001    0.000    0.027    0.001 persistence.py:57(_atomic_json)
       11    0.000    0.000    0.027    0.002 codegen.py:1168(unserialize_library)
       11    0.000    0.000    0.027    0.002 codegen.py:936(_unserialize)
     1663    0.001    0.000    0.027    0.000 targetconfig.py:188(__hash__)
 1371/207    0.010    0.000    0.027    0.000 _parser.py:516(_parse)
        2    0.000    0.000    0.027    0.014 builtins.py:1(<module>)
        2    0.000    0.000    0.027    0.014 rules.py:1(<module>)
        1    0.000    0.000    0.027    0.027 gdal.py:1(<module>)
        1    0.000    0.000    0.027    0.027 cffi_utils.py:1(<module>)
56339/47772    0.017    0.000    0.027    0.000 abstract.py:121(__hash__)
    70846    0.018    0.000    0.026    0.000 targetconfig.py:111(getter)
    23198    0.013    0.000    0.026    0.000 event.py:243(notify)
        3    0.000    0.000    0.026    0.009 inline_closurecall.py:504(run_untyped_passes)
     7212    0.006    0.000    0.026    0.000 instructions.py:13(__init__)
      103    0.000    0.000    0.026    0.000 transforms.py:315(yield_loops_with_multiple_backedges)
      129    0.000    0.000    0.026    0.000 controlflow.py:226(_loops)
     3083    0.009    0.000    0.026    0.000 utils.py:306(order_by_target_specificity)
      129    0.001    0.000    0.026    0.000 controlflow.py:691(_find_loops)
      116    0.000    0.000    0.026    0.000 controlflow.py:279(loops)
     1567    0.002    0.000    0.026    0.000 context.py:441(resolve_value_type)
4717/4690    0.004    0.000    0.025    0.000 abstract.py:61(__call__)
    10037    0.002    0.000    0.025    0.000 ffi.py:153(__getattr__)
       10    0.000    0.000    0.025    0.003 typed_passes.py:562(run_pass)
       10    0.000    0.000    0.025    0.003 ir_utils.py:2155(check_and_legalize_ir)
   178500    0.014    0.000    0.025    0.000 {method 'get' of 'dict' objects}
      598    0.001    0.000    0.025    0.000 __init__.py:78(open_resource)
  470/425    0.001    0.000    0.025    0.000 base.py:534(get_function)
      206    0.000    0.000    0.025    0.000 analysis.py:76(fix_point)
        1    0.000    0.000    0.025    0.025 _matfuncs.py:1(<module>)
        3    0.000    0.000    0.025    0.008 inline_closurecall.py:370(inline_ir)
    84756    0.012    0.000    0.025    0.000 <frozen abc>:117(__instancecheck__)
        2    0.000    0.000    0.025    0.012 _adapters.py:1(<module>)
        1    0.000    0.000    0.024    0.024 callconv.py:1(<module>)
        1    0.000    0.000    0.024    0.024 dylib.py:1(<module>)
        2    0.000    0.000    0.024    0.012 api.py:34(__init__)
     9570    0.004    0.000    0.024    0.000 values.py:537(__init__)
      491    0.003    0.000    0.024    0.000 _docscrape.py:224(_parse_param_list)
     2417    0.023    0.000    0.024    0.000 controlflow.py:644(push_state)
        2    0.000    0.000    0.024    0.012 base.py:1(<module>)
       13    0.000    0.000    0.024    0.002 interpreter.py:1443(post_process)
       35    0.000    0.000    0.023    0.001 codegen.py:1098(_load_defined_symbols)
      284    0.000    0.000    0.023    0.000 codegen.py:1249(_function_pass_manager)
      342    0.021    0.000    0.023    0.000 patch_radiation.py:144(_classes)
        1    0.000    0.000    0.023    0.023 message.py:1(<module>)
      295    0.000    0.000    0.023    0.000 ffi.py:146(_lib)
        1    0.000    0.000    0.023    0.023 ffi.py:117(_load_lib)
       96    0.002    0.000    0.023    0.000 engine.py:1323(Lvikt_veg)
     4226    0.022    0.000    0.023    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.023    0.023 capi_maps.py:1(<module>)
20167/19962    0.021    0.000    0.023    0.000 {built-in method __new__ of type object at 0x10314ee68}
       10    0.000    0.000    0.022    0.002 typed_passes.py:888(run_pass)
       70    0.001    0.000    0.022    0.000 codegen.py:1102(<setcomp>)
 1109/245    0.002    0.000    0.022    0.000 copy.py:259(_reconstruct)
        1    0.000    0.000    0.022    0.022 cpu.py:1(<module>)
     2264    0.001    0.000    0.022    0.000 <frozen abc>:105(__new__)
      646    0.014    0.000    0.022    0.000 inspect.py:863(cleandoc)
        6    0.000    0.000    0.022    0.004 inline_closurecall.py:381(copy_ir)
