Sat Sep 19 15:59:11 2026    /Users/alansynn/Workspace/solweig-light/reports/p7_profile_small_warmed_v1/profile/worker.pstats

         48063836 function calls (45337892 primitive calls) in 19.388 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       79    0.000    0.000    0.310    0.004 ssa.py:26(reconstruct_ssa)
       79    0.002    0.000    0.309    0.004 ssa.py:47(_run_ssa)
    15552    0.021    0.000    0.306    0.000 context.py:361(_call_incref_decref)
        1    0.000    0.000    0.305    0.305 arraymath.py:1(<module>)
        3    0.000    0.000    0.301    0.100 compiler.py:806(compile_internal)
        1    0.000    0.000    0.300    0.300 arraymath.py:35(_check_blas)
        1    0.000    0.000    0.300    0.300 linalg.py:55(ensure_blas)
   101760    0.066    0.000    0.297    0.000 event.py:209(broadcast)
       91    0.001    0.000    0.292    0.003 interpreter.py:1443(post_process)
      630    0.000    0.000    0.290    0.000 patch_radiation.py:273(<genexpr>)
    42024    0.031    0.000    0.287    0.000 interpreter.py:1799(_dispatch)
    18681    0.029    0.000    0.285    0.000 context.py:441(resolve_value_type)
       71    0.001    0.000    0.277    0.004 typed_passes.py:888(run_pass)
     12/9    0.000    0.000    0.275    0.031 inline_closurecall.py:504(run_untyped_passes)
    31867    0.057    0.000    0.272    0.000 context.py:374(find_matching_getattr_template)
22406/15552    0.026    0.000    0.270    0.000 context.py:344(get_meminfos)
90930/86020    0.025    0.000    0.268    0.000 contextlib.py:132(__enter__)
    87/71    0.000    0.000    0.265    0.004 <frozen importlib._bootstrap_external>:1239(exec_module)
    87/71    0.019    0.000    0.265    0.004 {built-in method _imp.exec_dynamic}
    30179    0.011    0.000    0.259    0.000 context.py:355(core)
    10320    0.015    0.000    0.256    0.000 lowering.py:1580(delvar)
    59069    0.052    0.000    0.255    0.000 instructions.py:13(__init__)
    45215    0.021    0.000    0.253    0.000 ffi.py:83(__exit__)
    95247    0.046    0.000    0.251    0.000 ssa.py:206(_run_ssa_block_pass)
5122/4650    0.012    0.000    0.250    0.000 base.py:534(get_function)
    75436    0.035    0.000    0.246    0.000 values.py:537(__init__)
