Sat Sep 19 15:59:32 2026    reports/p7_profile_small_warmed_v1/warm_profile/worker.warm.pstats

         2943243 function calls (2819311 primitive calls) in 2.645 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3912    0.006    0.000    0.021    0.000 context.py:653(_rate_arguments)
     1123    0.001    0.000    0.021    0.000 extending.py:137(decorate)
        1    0.000    0.000    0.020    0.020 pythonapi.py:1(<module>)
        2    0.000    0.000    0.020    0.010 typed_passes.py:228(run_pass)
        1    0.000    0.000    0.020    0.020 crackfortran.py:1(<module>)
        6    0.000    0.000    0.020    0.003 cpu.py:269(get_executable)
        1    0.000    0.000    0.020    0.020 _misc.py:1(<module>)
11317/11112    0.018    0.000    0.020    0.000 {built-in method __new__ of type object at 0x1059b2e68}
     4563    0.008    0.000    0.020    0.000 _docscrape.py:67(read_to_condition)
     2146    0.001    0.000    0.020    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.020    0.020 rasters.py:1(<module>)
        5    0.000    0.000    0.019    0.004 codegen.py:667(_optimize_final_module)
       65    0.000    0.000    0.019    0.000 dispatcher.py:755(__init__)
     4047    0.019    0.000    0.019    0.000 {built-in method posix.stat}
        4    0.000    0.000    0.019    0.005 registry.py:54(apply)
        1    0.000    0.000    0.019    0.019 _arraypad_impl.py:1(<module>)
        2    0.000    0.000    0.019    0.009 gdal.py:521(UseExceptions)
        1    0.000    0.000    0.019    0.019 _index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.019    0.019 codegen.py:1(<module>)
        1    0.000    0.000    0.018    0.018 ogr.py:1(<module>)
        1    0.000    0.000    0.017    0.017 _filters.py:1(<module>)
        2    0.000    0.000    0.017    0.009 api.py:1(<module>)
        1    0.000    0.000    0.017    0.017 socket.py:1(<module>)
        1    0.000    0.000    0.017    0.017 multiarray.py:1(<module>)
        1    0.000    0.000    0.017    0.017 geometry.py:287(get_or_create)
        2    0.000    0.000    0.017    0.008 ssa.py:26(reconstruct_ssa)
        2    0.000    0.000    0.017    0.008 ssa.py:47(_run_ssa)
     2121    0.001    0.000    0.017    0.000 base.py:368(insert_func_defn)
      172    0.000    0.000    0.017    0.000 _compiler.py:573(_code)
        1    0.000    0.000    0.016    0.016 cparser.py:1(<module>)
        1    0.000    0.000    0.016    0.016 geometry.py:184(_open)
        1    0.000    0.000    0.016    0.016 charseq.py:1(<module>)
        1    0.000    0.000    0.016    0.016 defmatrix.py:1(<module>)
     3256    0.001    0.000    0.016    0.000 _docscrape.py:77(read_to_next_empty_line)
      495    0.000    0.000    0.016    0.000 inspect.py:3261(signature)
        1    0.000    0.000    0.016    0.016 rules.py:14(_init_casting_rules)
       46    0.001    0.000    0.016    0.000 castgraph.py:119(insert_rule)
        2    0.000    0.000    0.016    0.008 untyped_passes.py:192(run_pass)
      495    0.000    0.000    0.016    0.000 inspect.py:3007(from_callable)
     3077    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.016    0.016 _ccallback.py:1(<module>)
        2    0.000    0.000    0.015    0.008 _linalg.py:1(<module>)
  527/496    0.002    0.000    0.015    0.000 inspect.py:2435(_signature_from_callable)
      243    0.001    0.000    0.015    0.000 inspect.py:844(getdoc)
       12    0.000    0.000    0.015    0.001 __init__.py:1002(version)
     3499    0.007    0.000    0.015    0.000 _docscrape.py:168(_is_at_section)
       46    0.003    0.000    0.015    0.000 castgraph.py:92(propagate)
        1    0.000    0.000    0.015    0.015 secrets.py:1(<module>)
      327    0.000    0.000    0.015    0.000 registry.py:25(target_context)
        2    0.000    0.000    0.015    0.007 utils.py:739(__get__)
        1    0.000    0.000    0.015    0.015 registry.py:15(_toplevel_target_context)
        1    0.000    0.000    0.015    0.015 cpu.py:41(__init__)
        1    0.000    0.000    0.015    0.015 base.py:225(__init__)
 2290/172    0.006    0.000    0.015    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.015    0.015 hmac.py:1(<module>)
    22160    0.003    0.000    0.014    0.000 templates.py:1322(new_registrations)
        1    0.000    0.000    0.014    0.014 identities.py:60(simulation_identity)
       36    0.000    0.000    0.014    0.000 module.py:11(parse_assembly)
       36    0.000    0.000    0.014    0.000 _npyio_impl.py:311(load)
2953/2948    0.002    0.000    0.014    0.000 abstract.py:61(__call__)
     6594    0.003    0.000    0.014    0.000 ssa.py:206(_run_ssa_block_pass)
        1    0.000    0.000    0.014    0.014 coord_accessors.py:1(<module>)
     7670    0.003    0.000    0.014    0.000 context.py:628(can_convert)
        1    0.000    0.000    0.013    0.013 _measurements.py:1(<module>)
65091/64911    0.010    0.000    0.013    0.000 {built-in method builtins.getattr}
       36    0.001    0.000    0.013    0.000 ssa.py:183(_run_block_rewrite)
      547    0.013    0.000    0.013    0.000 base.py:37(__init__)
 9375/244    0.007    0.000    0.013    0.000 copy.py:128(deepcopy)
        1    0.000    0.000    0.013    0.013 cpu.py:53(init)
     1123    0.003    0.000    0.013    0.000 templates.py:887(make_overload_template)
        1    0.000    0.000    0.013    0.013 unicode.py:1(<module>)
       12    0.000    0.000    0.013    0.001 __init__.py:629(version)
        1    0.000    0.000    0.013    0.013 c_parser.py:1(<module>)
       12    0.000    0.000    0.013    0.001 __init__.py:602(metadata)
     1948    0.001    0.000    0.013    0.000 _docscrape.py:573(dedent_lines)
     4112    0.013    0.000    0.013    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.013    0.013 codegen.py:1174(__init__)
  496/244    0.002    0.000    0.013    0.000 copy.py:227(_deepcopy_dict)
        1    0.000    0.000    0.012    0.012 typeconv.py:1(<module>)
     1316    0.004    0.000    0.012    0.000 utils.py:306(order_by_target_specificity)
       24    0.000    0.000    0.012    0.001 dataclasses.py:1221(wrap)
        4    0.000    0.000    0.012    0.003 caching.py:724(_load_overload)
       24    0.001    0.000    0.012    0.001 dataclasses.py:884(_process_class)
31540/31189    0.008    0.000    0.012    0.000 abstract.py:121(__hash__)
        1    0.000    0.000    0.012    0.012 npdatetime.py:1(<module>)
    79/76    0.000    0.000    0.012    0.000 __init__.py:11(__getattr__)
      786    0.001    0.000    0.012    0.000 context.py:441(resolve_value_type)
        2    0.000    0.000    0.012    0.006 lowering.py:286(create_cfunc_wrapper)
        2    0.000    0.000    0.012    0.006 cpu.py:237(create_cfunc_wrapper)
    44177    0.006    0.000    0.012    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.011    0.011 npyfuncs.py:1(<module>)
       25    0.000    0.000    0.011    0.000 castgraph.py:131(unsafe)
       31    0.000    0.000    0.011    0.000 module.py:243(__repr__)
       31    0.000    0.000    0.011    0.000 module.py:217(_get_body_lines)
       31    0.000    0.000    0.011    0.000 module.py:222(<listcomp>)
14148/10122    0.004    0.000    0.011    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.011    0.011 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.010    0.010 lowering.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.010    0.010 c_lexer.py:1(<module>)
        1    0.001    0.001    0.010    0.010 solar.py:903(Solweig_2015a_metdata_noload)
203180/199576    0.010    0.000    0.010    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.010    0.010 utils_clang.py:1(<module>)
  501/362    0.000    0.000    0.010    0.000 typing.py:373(inner)
        1    0.000    0.000    0.010    0.010 lapack.py:1(<module>)
        1    0.000    0.000    0.010    0.010 subprocess.py:1(<module>)
       69    0.000    0.000    0.010    0.000 values.py:1017(__str__)
       77    0.000    0.000    0.010    0.000 geometry.py:56(content_fingerprint)
        1    0.000    0.000    0.010    0.010 numeric.py:1(<module>)
       69    0.000    0.000    0.010    0.000 values.py:1010(descr)
        1    0.000    0.000    0.010    0.010 preprocessor.py:1(<module>)
      776    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
    58211    0.005    0.000    0.010    0.000 {method 'get' of 'dict' objects}
       37    0.000    0.000    0.010    0.000 solar.py:24(sun_position)
      243    0.001    0.000    0.010    0.000 _docscrape.py:366(_parse_summary)
       40    0.000    0.000    0.010    0.000 enum.py:499(__new__)
  646/602    0.000    0.000    0.010    0.000 ir_utils.py:1459(guard)
        2    0.000    0.000    0.010    0.005 module.py:1(<module>)
        2    0.000    0.000    0.009    0.005 cmathimpl.py:1(<module>)
       18    0.000    0.000    0.009    0.001 ssa.py:83(_fix_ssa_vars)
2658/2486    0.001    0.000    0.009    0.000 contextlib.py:132(__enter__)
     2438    0.009    0.000    0.009    0.000 {method 'findall' of 're.Pattern' objects}
        6    0.000    0.000    0.009    0.002 postproc.py:158(_insert_var_dels)
3402/1740    0.001    0.000    0.009    0.000 _utils.py:44(__str__)
        6    0.002    0.000    0.009    0.002 postproc.py:179(_patch_var_dels)
        4    0.000    0.000    0.009    0.002 caching.py:477(rebuild)
        4    0.000    0.000    0.009    0.002 compiler.py:227(_rebuild)
    17809    0.005    0.000    0.009    0.000 utils.py:475(stream_list)
        1    0.000    0.000    0.009    0.009 gdal_array.py:1(<module>)
      243    0.001    0.000    0.009    0.000 _docscrape.py:599(__str__)
        1    0.000    0.000    0.009    0.009 shutil.py:1(<module>)
     6746    0.004    0.000    0.009    0.000 typeconv.py:40(check_compatible)
        4    0.000    0.000    0.009    0.002 codegen.py:1168(unserialize_library)
        4    0.000    0.000    0.009    0.002 codegen.py:936(_unserialize)
       13    0.000    0.000    0.009    0.001 values.py:1003(descr_body)
        1    0.000    0.000    0.009    0.009 blas.py:1(<module>)
      792    0.001    0.000    0.009    0.000 typeof.py:27(typeof)
        1    0.000    0.000    0.009    0.009 parfor_lowering.py:1(<module>)
      215    0.000    0.000    0.009    0.000 values.py:1176(descr)
     6961    0.002    0.000    0.009    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.009    0.009 gnm.py:1(<module>)
        2    0.000    0.000    0.009    0.004 inline_closurecall.py:90(run)
       77    0.000    0.000    0.009    0.000 geometry.py:48(_hash_file)
       44    0.000    0.000    0.008    0.000 typeinfer.py:564(__call__)
      247    0.000    0.000    0.008    0.000 extending.py:215(decorate)
