Sat Sep 19 16:22:50 2026    /Users/alansynn/Workspace/solweig-light/reports/characterization/p7_persistent_jit_distinct_variant/small_v1/profile/worker.pstats

         7198627 function calls (6895792 primitive calls) in 4.379 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1308    0.002    0.000    0.082    0.000 npydecl.py:196(generic)
   124314    0.049    0.000    0.080    0.000 engine.py:1692(_operands)
2691/2187    0.001    0.000    0.079    0.000 ir_utils.py:1459(guard)
     1340    0.006    0.000    0.079    0.000 npydecl.py:92(generic)
       13    0.000    0.000    0.078    0.006 untyped_passes.py:192(run_pass)
       26    0.001    0.000    0.077    0.003 persistence.py:324(_flush)
    15658    0.003    0.000    0.076    0.000 ir.py:611(list_vars)
       24    0.000    0.000    0.076    0.003 persistence.py:154(save_state)
        3    0.000    0.000    0.075    0.025 registry.py:1(<module>)
        1    0.000    0.000    0.075    0.075 arrayobj.py:4753(codegen)
     1669    0.069    0.000    0.075    0.000 {built-in method io.open}
        1    0.000    0.000    0.074    0.074 dispatcher.py:1(<module>)
       23    0.002    0.000    0.074    0.003 registry.py:54(apply)
        1    0.000    0.000    0.073    0.073 arrayobj.py:4561(_empty_nd_impl)
        1    0.000    0.000    0.072    0.072 base.py:888(compile_internal)
       10    0.000    0.000    0.072    0.007 ssa.py:26(reconstruct_ssa)
       10    0.000    0.000    0.071    0.007 ssa.py:47(_run_ssa)
        1    0.000    0.000    0.071    0.071 base.py:857(compile_subroutine)
        1    0.000    0.000    0.071    0.071 base.py:817(_compile_subroutine_no_cache)
      243    0.002    0.000    0.071    0.000 _docscrape.py:388(_parse)
      533    0.001    0.000    0.070    0.000 __init__.py:704(__getattr__)
        1    0.000    0.000    0.066    0.066 compiler.py:806(compile_internal)
        3    0.000    0.000    0.065    0.022 _internal.py:56(clone_module)
    13/10    0.001    0.000    0.065    0.006 untyped_passes.py:284(run_pass)
       10    0.000    0.000    0.065    0.006 typed_passes.py:228(run_pass)
        1    0.000    0.000    0.064    0.064 secrets.py:1(<module>)
        1    0.000    0.000    0.064    0.064 hmac.py:1(<module>)
        9    0.000    0.000    0.063    0.007 lowering.py:286(create_cfunc_wrapper)
        9    0.000    0.000    0.063    0.007 cpu.py:237(create_cfunc_wrapper)
      131    0.000    0.000    0.061    0.000 module.py:243(__repr__)
      131    0.000    0.000    0.060    0.000 module.py:217(_get_body_lines)
        1    0.000    0.000    0.060    0.060 compiler.py:1(<module>)
       78    0.008    0.000    0.060    0.001 ssa.py:183(_run_block_rewrite)
      131    0.000    0.000    0.060    0.000 module.py:222(<listcomp>)
       24    0.000    0.000    0.059    0.002 persistence.py:160(<dictcomp>)
      264    0.002    0.000    0.059    0.000 persistence.py:83(_encode)
51837/50653    0.009    0.000    0.059    0.000 {built-in method builtins.next}
194311/193929    0.030    0.000    0.058    0.000 {built-in method builtins.getattr}
      274    0.000    0.000    0.057    0.000 values.py:1017(__str__)
57409/33658    0.017    0.000    0.057    0.000 {method 'format' of 'str' objects}
      274    0.000    0.000    0.057    0.000 values.py:1010(descr)
    32194    0.015    0.000    0.056    0.000 ssa.py:206(_run_ssa_block_pass)
     2142    0.007    0.000    0.056    0.000 visibility.py:254(__getitem__)
      690    0.001    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        1    0.000    0.000    0.054    0.054 timezonefinder.py:1001(__init__)
      690    0.054    0.000    0.054    0.000 {built-in method marshal.loads}
2541/2531    0.018    0.000    0.053    0.000 {built-in method builtins.__build_class__}
       13    0.001    0.000    0.053    0.004 inline_closurecall.py:90(run)
  141/123    0.001    0.000    0.052    0.000 untyped_passes.py:332(_do_work)
25156/11507    0.007    0.000    0.052    0.000 _utils.py:44(__str__)
      801    0.005    0.000    0.051    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        3    0.000    0.000    0.051    0.017 inline_closurecall.py:493(inline_function)
      776    0.001    0.000    0.051    0.000 templates.py:279(_select)
        2    0.000    0.000    0.051    0.025 polygon_array.py:55(__init__)
 3159/828    0.006    0.000    0.051    0.000 context.py:495(install_registry)
      684    0.000    0.000    0.051    0.000 templates.py:488(apply)
     2732    0.002    0.000    0.051    0.000 __init__.py:272(_compile)
     3435    0.001    0.000    0.051    0.000 targetconfig.py:197(values)
